DISTRITO;LONGITUD;LATITUD;Peatones_prom;location
Arganzuela;-3,7023435;40,4045789;775,2728948;-3.7023435,40.4045789
Arganzuela;-3,6927498;40,4086112;498,8887635;-3.6927498,40.4086112
Centro;-3,6964715;40,4111089;153,578088;-3.6964715,40.4111089
Centro;-3,7075382;40,4128539;420,1446262;-3.7075382,40.4128539
Centro;-3,6988073;40,4136086;299,4363553;-3.6988073,40.4136086
Latina;-3,723909;40,413907;71,67935336;-3.723909,40.413907
Centro;-3,7060291;40,416376;532,0595554;-3.7060291,40.416376
Centro;-3,701234;40,416614;224,7436817;-3.701234,40.416614
Centro;-3,713371;40,417278;491,8542916;-3.713371,40.417278
Centro;-3,6942492;40,4190947;699,0295473;-3.6942492,40.4190947
Centro;-3,7043687;40,4201256;678,9834997;-3.7043687,40.4201256
Centro;-3,6929474;40,4202015;264,4016736;-3.6929474,40.4202015
Centro;-3,704378;40,4202916;752,1937922;-3.704378,40.4202916
Centro;-3,7006816;40,4208642;384,9257574;-3.7006816,40.4208642
Centro;-3,7008917;40,422009;828,1200184;-3.7008917,40.422009
Moncloa-Aravaca;-3,7120948;40,4247989;360,8997783;-3.7120948,40.4247989
Chamberí;-3,6936243;40,426561;225,2659068;-3.6936243,40.426561
Chamberí;-3,7133118;40,430403;311,2589869;-3.7133118,40.430403
